iter	MultiClass
0	0.6849827982
1	0.6775255198
2	0.6709161531
3	0.6649921367
4	0.6595644355
5	0.6545194748
6	0.6499666915
7	0.6458019413
8	0.6419269323
9	0.6383713128
10	0.6351884774
11	0.6322591429
12	0.6295666936
13	0.627112091
14	0.6248253045
15	0.6227939984
16	0.620923939
17	0.6192263398
18	0.6176055517
19	0.6161222439
20	0.6147530809
21	0.6135779684
22	0.612410131
23	0.6113441835
24	0.6103930921
25	0.6095043849
26	0.6087381201
27	0.6079961169
28	0.6073317055
29	0.6066584997
30	0.606095547
31	0.6055321768
32	0.6050898808
33	0.6046476885
34	0.6042191332
35	0.6038378705
36	0.6035250952
37	0.6031903599
38	0.6029133279
39	0.6025650631
40	0.6022687868
41	0.6020370161
42	0.6018107016
43	0.6016057306
44	0.6013941221
45	0.6011924793
46	0.6010518802
47	0.600871388
48	0.6007024148
49	0.6005870434
50	0.6004215998
51	0.6003070779
52	0.6002189845
53	0.6000982302
54	0.6000132286
55	0.5999029172
56	0.5997557761
57	0.5996843948
58	0.5996428212
59	0.5995837463
60	0.5994566408
61	0.5993907422
62	0.5993129209
63	0.5992830635
64	0.5992196061
65	0.5991767143
66	0.5990942656
67	0.5990074465
68	0.5988227847
69	0.598743591
70	0.5987060097
71	0.5986616274
72	0.5986180589
73	0.5985551628
74	0.5983846359
75	0.5983551046
76	0.598286255
77	0.598246629
78	0.5982074372
79	0.5981794787
80	0.5981224792
81	0.5980670687
82	0.5980479726
83	0.5980307578
84	0.5980041038
85	0.5979713733
86	0.5978466466
87	0.5978009058
88	0.5977546006
89	0.5977334009
90	0.5976973407
91	0.5976963541
92	0.5976468542
93	0.597600119
94	0.5975506776
95	0.5975004649
96	0.5974484367
97	0.5973536432
98	0.597347473
99	0.5973073947
100	0.5972208708
101	0.597200559
102	0.5971817622
103	0.5971521319
104	0.5971363492
105	0.5970589938
106	0.5970386467
107	0.5970246826
108	0.5969982314
109	0.5969672531
110	0.5969379338
111	0.5969104323
112	0.5968464571
113	0.5968116062
114	0.5967922949
115	0.5967418059
116	0.5967338624
117	0.5966985529
118	0.5966664991
119	0.5966484004
120	0.5966045823
121	0.5965764621
122	0.5965161076
123	0.5964883431
124	0.5964446424
125	0.5963799563
126	0.5963598893
127	0.5963364461
128	0.5963215341
129	0.5962529912
130	0.596217263
131	0.5961810246
132	0.5961615441
133	0.5961151813
134	0.5961097284
135	0.5960901806
136	0.5960498705
137	0.5960195637
138	0.5960136496
139	0.5959781121
140	0.5959707588
141	0.5959561352
142	0.5959142105
143	0.5958993351
144	0.5958599234
145	0.5958186219
146	0.5958139493
147	0.5957895051
148	0.5957724978
149	0.5957239285
150	0.5957133875
151	0.5956703703
152	0.5956530191
153	0.59563449
154	0.5955784369
155	0.5955520993
156	0.5955016932
157	0.5954593626
158	0.5954426436
159	0.5954316833
160	0.5954007795
161	0.5953497254
162	0.5953204323
163	0.5952947231
164	0.5952821345
165	0.5951741434
166	0.5950960217
167	0.5950624023
168	0.5950356301
169	0.5949591924
170	0.5949222762
171	0.5948681992
172	0.5948237948
173	0.5947560117
174	0.5947307081
175	0.5946964959
176	0.5946715417
177	0.5946194272
178	0.5945119463
179	0.5944801851
180	0.5944520972
181	0.5944104297
182	0.5943376238
183	0.5942670876
184	0.5941992206
185	0.594131026
186	0.5941103165
187	0.5941011391
188	0.5940310494
189	0.5939751177
190	0.5939114062
191	0.5938904485
192	0.5938811412
193	0.5938096962
194	0.5937329646
195	0.5936783761
196	0.5936332387
197	0.5935770854
198	0.5934821516
199	0.5934334208
200	0.5933752251
201	0.5933029858
202	0.5932127814
203	0.5931734391
204	0.5931395431
205	0.5930934278
206	0.5930230155
207	0.5930045355
208	0.592962974
209	0.5928794423
210	0.592789442
211	0.5926972203
212	0.5926557266
213	0.5926378177
214	0.592606835
215	0.5925240772
216	0.5924321695
217	0.5923010381
218	0.5922331095
219	0.5921620919
220	0.5921345287
221	0.5921046458
222	0.5920567387
223	0.5919889403
224	0.5918776234
225	0.5918235014
226	0.5917751612
227	0.5916959254
228	0.5915625641
229	0.5915303714
230	0.5914538904
231	0.591345601
232	0.5912726469
233	0.5911757325
234	0.5911129659
235	0.591055814
236	0.5909748468
237	0.590927559
238	0.5908961963
239	0.590831198
240	0.5907772997
241	0.5907107432
242	0.590671287
243	0.590573535
244	0.5905252769
245	0.5904292105
246	0.5903647793
247	0.5903417002
248	0.590289832
249	0.5902680678
250	0.5901813815
251	0.5901034063
252	0.5900054233
253	0.5899613157
254	0.5898987073
255	0.5898164526
256	0.589746755
257	0.5896960908
258	0.5896289382
259	0.5895605075
260	0.5895049644
261	0.5894560836
262	0.5894066828
263	0.5893506686
264	0.5892989245
265	0.5892552925
266	0.5891985822
267	0.5891177506
268	0.5890521121
269	0.5889819117
270	0.5889317729
271	0.5888688239
272	0.5888271421
273	0.5887778576
274	0.5887214452
275	0.588639929
276	0.5885799697
277	0.5885145827
278	0.5884166925
279	0.5883668782
280	0.5883087515
281	0.5882674203
282	0.5882006959
283	0.5881446749
284	0.5881176256
285	0.5880717913
286	0.5880352928
287	0.5879616976
288	0.587928634
289	0.5878457505
290	0.5877711109
291	0.5877147616
292	0.5876626829
293	0.5876306048
294	0.5875985682
295	0.5875086984
296	0.5874554308
297	0.587407293
298	0.5873786704
299	0.5873120428
300	0.5872884526
301	0.5872459522
302	0.5871790639
303	0.5871125013
304	0.5870441618
305	0.5870345564
306	0.5869717907
307	0.5869527867
308	0.5869175149
309	0.5868793711
310	0.5868292504
311	0.5867500214
312	0.586664355
313	0.5865994317
314	0.5865570612
315	0.5865174861
316	0.5864586355
317	0.5864025132
318	0.5863449207
319	0.5863017917
320	0.5862680194
321	0.5862069394
322	0.5861665144
323	0.5861205726
324	0.5860804531
325	0.5860503122
326	0.5859975992
327	0.5859332513
328	0.5858887006
329	0.5858628703
330	0.5858235011
331	0.5857705247
332	0.5857309219
333	0.5856989935
334	0.5856726089
335	0.5856078757
336	0.5855728499
337	0.5855226204
338	0.5854803573
339	0.5854437918
340	0.5854003727
341	0.585354919
342	0.585316956
343	0.5852805677
344	0.5852494158
345	0.5851651678
346	0.5851173488
347	0.5850722017
348	0.5850132813
349	0.5849885265
350	0.5849636083
351	0.5849166965
352	0.5848898106
353	0.5848320755
354	0.5847879181
355	0.5847676603
356	0.5847292975
357	0.5846861709
358	0.5846646537
359	0.5846330151
360	0.5846050613
361	0.5845777409
362	0.5845259938
363	0.5844797214
364	0.5844202202
365	0.5843670993
366	0.5843372851
367	0.5843056374
368	0.5842776382
369	0.5842454477
370	0.5842035414
371	0.5841916184
372	0.5841741614
373	0.584140454
374	0.5840807023
375	0.5840289917
376	0.5839943238
377	0.5839471986
378	0.5839117685
379	0.5838874801
380	0.5838445633
381	0.5838035912
382	0.5837725599
383	0.5837325884
384	0.5836855824
385	0.5836517256
386	0.5836162455
387	0.5835789982
388	0.5835254038
389	0.5835049534
390	0.5834743653
391	0.5834431213
392	0.5834266609
393	0.5833688677
394	0.5833452858
395	0.5833214703
396	0.5832935197
397	0.5832487331
398	0.5832130873
399	0.5831707599
400	0.5831389822
401	0.5831115247
402	0.5830725989
403	0.5830360502
404	0.5830181475
405	0.5830008943
406	0.582945619
407	0.5829184876
408	0.5828955448
409	0.5828576993
410	0.5828398798
411	0.582817342
412	0.5827743183
413	0.5827226223
414	0.5826974446
415	0.5826661772
416	0.5826396707
417	0.5826260321
418	0.582588361
419	0.582574212
420	0.5825388777
421	0.5824941302
422	0.5824818049
423	0.5824548967
424	0.5824237355
425	0.5823787351
426	0.5823308274
427	0.5823070586
428	0.5822650739
429	0.5822247549
430	0.5821914242
431	0.5821265754
432	0.582103379
433	0.5820794868
434	0.5820551013
435	0.5820163162
436	0.5820060469
437	0.5819623821
438	0.5819358315
439	0.5819226251
440	0.5818953934
441	0.5818729286
442	0.5818475943
443	0.5818074924
444	0.5817532436
445	0.5817287057
446	0.5816873067
447	0.5816537868
448	0.5816129207
449	0.5815840434
450	0.5815616513
451	0.581531279
452	0.5814994353
453	0.5814683493
454	0.5814286875
455	0.5814053467
456	0.5813724856
457	0.5813279892
458	0.581309277
459	0.5812766391
460	0.5812429309
461	0.5812289313
462	0.5812219022
463	0.5811882668
464	0.5811663859
465	0.5811387361
466	0.5811060222
467	0.5810774164
468	0.5810534281
469	0.5810098216
470	0.5809785689
471	0.5809520212
472	0.5809250459
473	0.580883768
474	0.5808602642
475	0.5808302604
476	0.580801071
477	0.5807946246
478	0.5807454579
479	0.5807137012
480	0.5806780313
481	0.5806653894
482	0.5806434399
483	0.5806248778
484	0.5805901762
485	0.5805666953
486	0.5805061416
487	0.5804584424
488	0.5804264379
489	0.5803958524
490	0.5803727769
491	0.5803485615
492	0.580296891
493	0.5802797592
494	0.5802156072
495	0.5801865636
496	0.5801509109
497	0.580125557
498	0.5800955812
499	0.580063495
500	0.5800421715
501	0.5800274146
502	0.5800045587
