iter	Passed	Remaining
0	68	68755
1	125	62757
2	178	59212
3	230	57510
4	283	56449
5	337	55952
6	391	55567
7	445	55207
8	496	54694
9	547	54172
10	598	53823
11	648	53393
12	699	53076
13	718	50618
14	767	50394
15	817	50299
16	869	50264
17	922	50302
18	975	50378
19	1025	50234
20	1076	50199
21	1129	50221
22	1181	50199
23	1232	50126
24	1282	50024
25	1336	50049
26	1388	50048
27	1441	50024
28	1494	50037
29	1547	50024
30	1599	49987
31	1651	49964
32	1704	49961
33	1756	49912
34	1807	49826
35	1862	49863
36	1914	49823
37	1968	49823
38	2019	49761
39	2069	49676
40	2120	49607
41	2174	49609
42	2225	49536
43	2279	49538
44	2332	49492
45	2386	49486
46	2438	49438
47	2488	49360
48	2542	49340
49	2594	49288
50	2648	49290
51	2703	49279
52	2706	48356
53	2763	48412
54	2817	48414
55	2871	48403
56	2920	48311
57	2971	48262
58	2973	47424
59	3022	47348
60	3076	47358
61	3127	47315
62	3182	47329
63	3235	47321
64	3287	47294
65	3341	47291
66	3396	47291
67	3446	47240
68	3501	47240
69	3551	47189
70	3602	47141
71	3654	47099
72	3706	47072
73	3756	47008
74	3809	46987
75	3863	46974
76	3916	46950
77	3970	46927
78	3975	46347
79	4026	46300
80	4077	46258
81	4129	46227
82	4180	46188
83	4231	46146
84	4283	46113
85	4336	46082
86	4390	46074
87	4441	46032
88	4495	46013
89	4543	45935
90	4560	45554
91	4562	45025
92	4579	44662
93	4630	44632
94	4682	44603
95	4734	44584
96	4786	44558
97	4839	44546
98	4892	44525
99	4945	44505
100	4994	44451
101	5047	44442
102	5097	44396
103	5149	44368
104	5202	44342
105	5254	44317
106	5305	44281
107	5359	44265
108	5411	44231
109	5460	44183
110	5512	44150
111	5563	44110
112	5620	44115
113	5672	44089
114	5727	44073
115	5778	44033
116	5833	44022
117	5884	43986
118	5936	43947
119	5988	43915
120	6039	43870
121	6092	43844
122	6145	43815
123	6197	43783
124	6250	43754
125	6302	43719
126	6355	43687
127	6408	43659
128	6461	43626
129	6514	43594
130	6566	43560
131	6619	43526
132	6672	43494
133	6722	43444
134	6773	43401
135	6826	43369
136	6878	43331
137	6930	43289
138	6982	43249
139	7032	43201
140	7086	43170
141	7136	43121
142	7186	43070
143	7238	43030
144	7291	42994
145	7342	42948
146	7396	42920
147	7448	42876
148	7499	42833
149	7554	42808
150	7604	42759
151	7623	42529
152	7676	42497
153	7729	42462
154	7783	42430
155	7833	42382
156	7883	42327
157	7935	42289
158	7988	42255
159	8039	42208
160	8093	42176
161	8146	42140
162	8199	42104
163	8251	42063
164	8304	42024
165	8357	41987
166	8408	41943
167	8463	41912
168	8513	41863
169	8567	41827
170	8619	41788
171	8671	41742
172	8724	41704
173	8776	41662
174	8828	41621
175	8880	41574
176	8932	41533
177	8983	41486
178	9031	41422
179	9085	41387
180	9136	41340
181	9187	41294
182	9239	41249
183	9293	41214
184	9344	41167
185	9396	41121
186	9449	41082
187	9500	41033
188	9552	40988
189	9606	40953
190	9657	40907
191	9708	40855
192	9761	40815
193	9813	40771
194	9865	40727
195	9917	40682
196	9969	40636
197	10020	40589
198	10074	40551
199	10127	40509
200	10179	40464
201	10231	40419
202	10283	40374
203	10335	40328
204	10388	40287
205	10440	40240
206	10493	40198
207	10546	40159
208	10599	40116
209	10653	40078
210	10707	40038
211	10757	39986
212	10810	39944
213	10859	39887
214	10913	39848
215	10966	39805
216	11017	39753
217	11071	39713
218	11124	39671
219	11176	39625
220	11230	39587
221	11284	39547
222	11338	39506
223	11390	39460
224	11444	39420
225	11496	39373
226	11548	39325
227	11601	39281
228	11652	39231
229	11703	39182
230	11755	39132
231	11808	39088
232	11858	39036
233	11912	38994
234	11966	38953
235	12019	38909
236	12071	38862
237	12126	38823
238	12179	38780
239	12233	38738
240	12282	38681
241	12334	38634
242	12385	38584
243	12438	38539
244	12491	38495
245	12546	38454
246	12597	38405
247	12646	38348
248	12697	38297
249	12747	38242
250	12800	38196
251	12851	38147
252	12906	38105
253	12957	38056
254	13009	38007
255	13061	37959
256	13113	37910
257	13165	37863
258	13218	37818
259	13269	37768
260	13322	37720
261	13374	37672
262	13426	37625
263	13481	37585
264	13534	37538
265	13587	37494
266	13642	37451
267	13690	37394
268	13742	37345
269	13794	37296
270	13847	37250
271	13898	37198
272	13949	37148
273	13999	37092
274	14051	37045
275	14105	37000
276	14155	36948
277	14207	36899
278	14259	36848
279	14311	36800
280	14363	36752
281	14414	36700
282	14469	36658
283	14521	36611
284	14576	36568
285	14627	36517
286	14681	36473
287	14735	36429
288	14786	36376
289	14840	36332
290	14892	36284
291	14945	36238
292	14999	36192
293	15052	36146
294	15106	36101
295	15157	36050
296	15210	36002
297	15263	35955
298	15315	35907
299	15367	35858
300	15419	35808
301	15474	35764
302	15526	35715
303	15579	35669
304	15635	35627
305	15688	35581
306	15741	35533
307	15792	35482
308	15844	35433
309	15893	35375
310	15944	35324
311	15996	35273
312	16044	35215
313	16098	35171
314	16151	35124
315	16203	35072
316	16251	35015
317	16306	34971
318	16350	34904
319	16400	34851
320	16456	34810
321	16507	34758
322	16558	34706
323	16610	34657
324	16663	34608
325	16713	34555
326	16764	34502
327	16820	34460
328	16877	34422
329	16931	34375
330	16986	34332
331	17038	34281
332	17092	34236
333	17149	34195
334	17202	34147
335	17254	34098
336	17307	34049
337	17358	33997
338	17409	33946
339	17460	33894
340	17511	33842
341	17567	33799
342	17620	33750
343	17667	33690
344	17719	33641
345	17772	33593
346	17824	33542
347	17874	33489
348	17927	33441
349	17977	33386
350	18027	33332
351	18080	33284
352	18132	33234
353	18185	33185
354	18235	33132
355	18285	33079
356	18337	33027
357	18387	32973
358	18439	32924
359	18493	32877
360	18546	32828
361	18599	32780
362	18651	32730
363	18704	32681
364	18759	32636
365	18812	32587
366	18865	32539
367	18917	32488
368	18965	32430
369	19014	32376
370	19066	32325
371	19118	32275
372	19169	32223
373	19223	32175
374	19273	32122
375	19325	32072
376	19379	32024
377	19432	31975
378	19485	31926
379	19538	31879
380	19590	31828
381	19643	31779
382	19692	31723
383	19741	31669
384	19794	31620
385	19847	31571
386	19899	31520
387	19949	31467
388	20001	31415
389	20053	31366
390	20108	31319
391	20159	31268
392	20211	31217
393	20263	31166
394	20314	31115
395	20366	31064
396	20419	31014
397	20470	30963
398	20521	30911
399	20572	30858
400	20623	30806
401	20677	30759
402	20727	30705
403	20775	30649
404	20827	30597
405	20880	30549
406	20927	30491
407	20977	30437
408	21028	30386
409	21081	30337
410	21132	30284
411	21185	30235
412	21239	30187
413	21291	30136
414	21342	30085
415	21395	30036
416	21447	29985
417	21499	29934
418	21551	29884
419	21604	29835
420	21657	29785
421	21711	29736
422	21762	29685
423	21814	29634
424	21865	29582
425	21916	29531
426	21967	29478
427	22018	29426
428	22071	29377
429	22123	29327
430	22175	29275
431	22227	29225
432	22280	29175
433	22335	29128
434	22392	29085
435	22443	29032
436	22493	28979
437	22550	28934
438	22603	28884
439	22655	28833
440	22706	28781
441	22757	28730
442	22811	28681
443	22862	28629
444	22910	28573
445	22963	28523
446	23014	28472
447	23068	28423
448	23119	28372
449	23172	28322
450	23227	28274
451	23279	28223
452	23331	28173
453	23384	28122
454	23437	28073
455	23490	28023
456	23542	27973
457	23595	27923
458	23646	27870
459	23695	27816
460	23748	27766
461	23800	27715
462	23853	27665
463	23904	27614
464	23955	27561
465	24007	27510
466	24056	27456
467	24107	27404
468	24157	27351
469	24211	27302
470	24264	27252
471	24316	27201
472	24370	27152
473	24423	27103
474	24480	27056
475	24532	27006
476	24583	26954
477	24635	26902
478	24686	26851
479	24736	26797
480	24789	26747
481	24842	26697
482	24891	26644
483	24942	26591
484	24994	26540
485	25047	26490
486	25097	26437
487	25152	26389
488	25203	26337
489	25253	26284
490	25305	26233
491	25356	26180
492	25406	26127
493	25458	26076
494	25509	26025
495	25562	25975
496	25614	25923
497	25667	25874
498	25724	25828
499	25777	25777
500	25832	25729
501	25884	25677
502	25935	25625
503	25986	25574
504	26038	25522
505	26091	25472
506	26144	25423
507	26202	25377
508	26253	25325
509	26308	25276
510	26362	25227
511	26419	25180
512	26471	25130
513	26523	25078
514	26576	25027
515	26625	24974
516	26677	24923
517	26728	24871
518	26777	24816
519	26829	24765
520	26883	24716
521	26933	24662
